Order Date,Order ID,Website,Shipment Date,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
4/28/14,105-3308790-5933007,Amazon.com,4/29/14,Shipped,UPS(1Z602E8EYW01207925),$13.05,$5.52,$0.00,$0.00,$0.00,$18.57
12/25/14,103-9751450-7316265,Amazon.com,12/27/14,Shipped,USPS(9341989877958102116176),$20.48,$0.00,$1.80,$0.00,$1.80,$22.28
12/25/14,103-9184404-4242661,Amazon.com,12/26/14,Shipped,USPS(9361289877910104287082),$24.77,$0.00,$2.18,$0.00,$2.18,$26.95
4/6/15,110-9009777-7021844,Amazon.com,4/7/15,Shipped,UPS(1ZF533440154284158),$29.61,$19.98,$4.37,$0.00,$4.37,$53.96
10/29/15,114-1716231-6671449,Amazon.com,10/30/15,Shipped,USPS(9449010898313018682941),$7.19,$3.99,$0.00,$0.00,$0.00,$11.18
10/29/15,114-5261154-4226619,Amazon.com,10/30/15,Shipped,USPS(9341989877958106274919),$10.79,$0.00,$0.95,$0.00,$0.95,$11.74
10/29/15,114-5261154-4226619,Amazon.com,10/29/15,Shipped,USPS(9361289877966151559856),$18.80,$0.00,$1.65,$0.00,$1.65,$20.45
10/29/15,114-7570307-6917044,Amazon.com,10/29/15,Shipped,USPS(9449011201238847697522),$6.99,$3.99,$0.00,$0.00,$0.00,$10.98
2/25/16,103-1005072-2366668,Amazon.com,2/26/16,Shipped,DHL Global Mail(9241990101549294711624),$0.01,$3.99,$0.35,$0.00,$0.35,$4.35
2/25/16,103-3386445-4295413,Amazon.com,2/29/16,Shipped,DHL Global Mail(9241990101549294711624),$0.82,$3.99,$0.42,$0.00,$0.42,$5.23
2/25/16,103-7178544-4613014,Amazon.com,2/26/16,Shipped,DHL Global Mail(9241990101549294711624),$0.01,$3.99,$0.35,$0.00,$0.35,$4.35
6/12/16,103-1385428-8380213,Amazon.com,6/13/16,Shipped,Media Mail (Non Trackable)(420982929252190113930819455546),$2.86,$3.99,$0.00,$0.00,$0.00,$6.85
12/14/18,112-8926153-6288212,Amazon.com,12/14/18,Shipped,SUREPOST(1ZE6E499YW15128441),$25.99,$7.34,$2.37,$7.34,$2.37,$28.36
12/21/18,113-3406990-2913809,Amazon.com,12/22/18,Shipped,USPS(9341989674090114023938),$13.55,$0.00,$1.23,$0.00,$1.23,$14.78
12/21/18,113-6784616-4661850,Amazon.com,12/21/18,Shipped,USPS(9341989674090114025444),$14.00,$0.00,$1.27,$0.00,$1.27,$15.27
12/30/18,112-5196085-0976254,Amazon.com,12/30/18,Shipped,USPS(9341989674090114967331),$29.86,$0.00,$2.71,$0.00,$2.71,$32.57
12/30/18,112-5196085-0976254,Amazon.com,12/30/18,Shipped,USPS(9341989674090115002970),$14.38,$0.00,$1.31,$0.00,$1.31,$15.69
12/31/18,112-5080979-5413041,Amazon.com,12/31/18,Shipped,USPS(9341989674090115091219),$13.97,$0.00,$1.27,$0.00,$1.27,$15.24
12/31/18,112-5257463-2052209,Amazon.com,1/2/19,Shipped,USPS(9341989674090115215875),$28.83,$0.00,$2.62,$0.00,$2.62,$31.45
1/4/19,112-1537325-2091467,Amazon.com,1/7/19,Shipped,UPS(1ZA7815W0390292371),$11.99,$0.00,$1.09,$0.00,$1.09,$13.08
1/4/19,112-9338301-5002644,Amazon.com,1/5/19,Shipped,USPS(9341989674090115591061),$4.99,$0.00,$0.45,$0.00,$0.45,$5.44
1/6/19,112-0334626-7022620,Amazon.com,1/7/19,Shipped,USPS(9361289674090526213762),$16.63,$0.00,$1.51,$0.00,$1.51,$18.14
2/4/19,111-4375759-5399417,Amazon.com,2/5/19,Shipped,USPS(9341989674090118727962),$7.22,$0.00,$0.66,$0.00,$0.66,$7.88
2/4/19,111-0470387-1503463,Amazon.com,2/4/19,Shipped,AMZN_US(TBA771407102000),$19.50,$0.00,$1.17,$0.00,$1.17,$20.67
3/9/19,111-9367322-0095438,Amazon.com,3/10/19,Shipped,AMZN_US(TBA901783271000),$48.90,$3.99,$4.18,$6.99,$4.18,$50.08
3/9/19,111-9367322-0095438,Amazon.com,3/9/19,Shipped,AMZN_US(TBA901055718000),$24.99,$3.99,$2.27,$3.99,$2.27,$27.26
6/21/19,112-9493684-0643411,Amazon.com,6/23/19,Shipped,AMZL(TBA386875826000),$349.99,$0.00,$32.20,$0.00,$32.20,$382.19
6/21/19,112-3816441-3435409,Amazon.com,6/24/19,Shipped,"UPS(1Z6A34Y60303194846),UPS(1Z6A34Y60345477453)",$321.70,$0.00,$29.60,$0.00,$29.60,$351.30
8/8/19,112-0619477-0675427,Amazon.com,8/9/19,Shipped,AMZN_US(TBA639091390000),$20.06,$0.00,$1.85,$0.00,$1.85,$21.91
8/9/19,112-2490801-8728258,Amazon.com,8/9/19,Shipped,AMZN_US(TBA639091390000),$13.11,$0.00,$1.21,$0.00,$1.21,$14.32
8/9/19,112-9934193-1445851,Amazon.com,8/9/19,Shipped,AMZN_US(TBA639091390000),$16.20,$0.00,$1.49,$0.00,$1.49,$17.69
8/30/19,112-0137830-6683424,Amazon.com,8/31/19,Shipped,AMZN_US(TBA761670656000),$72.99,$0.00,$6.72,$0.00,$6.72,$79.71
8/31/19,112-9648243-0492228,Amazon.com,8/31/19,Shipped,AMZN_US(TBA762668260000),$15.97,$0.00,$1.47,$0.00,$1.47,$17.44
9/4/19,112-1763982-9424251,Amazon.com,9/5/19,Shipped,AMZN_US(TBA785779421000),$14.29,$0.00,$1.31,$0.00,$1.31,$15.60
9/4/19,112-1763982-9424251,Amazon.com,9/5/19,Shipped,AMZN_US(TBA788488106000),$38.19,$0.00,$3.51,$0.00,$3.51,$41.70
9/4/19,112-3921226-9666641,Amazon.com,9/6/19,Shipped,AMZN_US(TBA789995705000),$17.59,$0.00,$1.62,$0.00,$1.62,$19.21
9/6/19,112-1316131-9593061,Amazon.com,9/7/19,Shipped,AMZN_US(TBA797998442000),$37.49,$0.00,$3.45,$0.00,$3.45,$40.94
9/6/19,112-6172481-3725065,Amazon.com,9/7/19,Shipped,USPS(9361289674090624796860),$106.99,$0.00,$9.84,$0.00,$9.84,$116.83
9/9/19,111-8028736-1313861,Amazon.com,9/10/19,Shipped,UPS(1ZR0W2780220485974),$33.59,$0.00,$3.09,$0.00,$3.09,$36.68
9/10/19,111-7742836-8582649,Amazon.com,9/11/19,Shipped,AMZN_US(TBA823274399000),$13.04,$0.00,$1.20,$0.00,$1.20,$14.24
9/17/19,111-4096251-5503408,Amazon.com,9/18/19,Shipped,AMZN_US(TBA860602189000),$8.95,$0.00,$0.82,$0.00,$0.82,$9.77
9/17/19,111-4263239-7390603,Amazon.com,9/18/19,Shipped,AMZL(TBA860201789000),$123.53,$0.00,$11.36,$0.00,$11.36,$134.89
9/27/19,114-7538349-3334660,Amazon.com,9/28/19,Shipped,AMZN_US(TBA915102366000),$17.56,$0.00,$1.62,$0.00,$1.62,$19.18
9/27/19,114-7538349-3334660,Amazon.com,9/28/19,Shipped,AMZN_US(TBA915610867000),$58.62,$0.00,$5.39,$0.00,$5.39,$64.01
10/17/19,114-2649904-3962625,Amazon.com,10/24/19,Shipped,USPS(9374889674090547901927),$15.99,$0.00,$1.47,$0.00,$1.47,$17.46
10/17/19,114-5682501-5136215,Amazon.com,10/17/19,Shipped,AMZN_US(TBA027343124000),$384.00,$0.00,$35.33,$0.00,$35.33,$419.33
10/17/19,114-5682501-5136215,Amazon.com,10/17/19,Shipped,AMZN_US(TBA028997081000),$15.99,$0.00,$1.47,$0.00,$1.47,$17.46
10/19/19,114-2745047-3897809,Amazon.com,10/20/19,Shipped,AMZN_US(TBA043387372000),$484.00,$0.00,$44.53,$0.00,$44.53,$528.53
10/20/19,114-8923892-0529058,Amazon.com,10/20/19,Shipped,UPS(1Z0W646F0333140148),$414.00,$0.00,$38.09,$0.00,$38.09,$452.09
12/6/19,114-2325472-9642646,Amazon.com,12/7/19,Shipped,USPS(9361289674090673643788),$16.90,$0.00,$1.55,$0.00,$1.55,$18.45
12/7/19,114-1889380-8930600,Amazon.com,12/8/19,Shipped,USPS(9374889674090567270195),$39.99,$0.00,$3.68,$0.00,$3.68,$43.67
12/13/19,113-2635660-7135425,Amazon.com,12/14/19,Shipped,AMZN_US(TBA443877989000),$15.99,$0.00,$1.47,$0.00,$1.47,$17.46
12/13/19,113-2747704-1557869,Amazon.com,12/14/19,Shipped,USPS(9361289674090680694964),$15.99,$0.00,$1.47,$0.00,$1.47,$17.46
12/13/19,113-1881108-0804209,Amazon.com,12/14/19,Shipped,USPS(9361289674090680854153),$82.00,$0.00,$7.54,$0.00,$7.54,$89.54
12/13/19,113-1881108-0804209,Amazon.com,12/16/19,Shipped,UPS(1ZX09V620310077182),$189.99,$0.00,$17.48,$0.00,$17.48,$207.47
12/13/19,114-0116431-5764271,Amazon.com,12/14/19,Shipped,USPS(9361289674090680694964),$58.15,$0.00,$5.35,$0.00,$5.35,$63.50
12/13/19,114-0116431-5764271,Amazon.com,12/14/19,Shipped,AMZN_US(TBA449782768000),$41.81,$0.00,$3.46,$4.18,$3.46,$41.09
12/13/19,114-1754547-8804253,Amazon.com,12/15/19,Shipped,USPS(9361289674090681666168),$129.99,$0.00,$11.96,$0.00,$11.96,$141.95
12/16/19,114-2374797-5175446,Amazon.com,12/17/19,Shipped,USPS(9361289674090683410608),$28.95,$0.00,$2.66,$0.00,$2.66,$31.61
12/19/19,114-0678081-8545001,Amazon.com,12/20/19,Shipped,AMZN_US(TBA507029192000),$69.86,$0.00,$6.43,$0.00,$6.43,$76.29
1/11/20,112-9845999-9348219,Amazon.com,1/11/20,Shipped,AMZN_US(TBA648410486000),$49.98,$0.00,$4.60,$0.00,$4.60,$54.58
1/12/20,112-0148467-0845831,Amazon.com,1/12/20,Shipped,USPS(9341989674090143356267),$26.23,$0.00,$2.41,$0.00,$2.41,$28.64
1/29/20,114-1839884-1905837,Amazon.com,2/2/20,Shipped,AMZN_US(TBA802551000000),$29.79,$7.18,$2.74,$7.18,$2.74,$32.53
5/5/20,112-6656563-6026604,Amazon.com,5/8/20,Shipped,AMZN_US(TBA028632999601),$19.99,$5.99,$2.39,$0.00,$2.39,$28.37
12/29/20,111-0035957-2656244,Amazon.com,12/30/20,Shipped,AMZN_US(TBA117911274204),$40.86,$0.00,$3.76,$0.00,$3.76,$44.62
12/29/20,111-1861932-7129838,Amazon.com,12/29/20,Shipped,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
1/9/21,113-2532892-4621059,Amazon.com,1/12/21,Shipped,USPS(9341989674090177245056),$22.50,$0.00,$2.07,$0.00,$2.07,$24.57
1/9/21,113-8404163-4164263,Amazon.com,1/13/21,Shipped,USPS(9341989674090177322641),$8.70,$0.00,$0.80,$0.00,$0.80,$9.50
1/9/21,113-8404163-4164263,Amazon.com,1/9/21,Shipped,AMZN_US(TBA129286585304),$16.39,$0.00,$1.51,$0.00,$1.51,$17.90
1/10/21,112-0102920-1845813,Amazon.com,1/11/21,Shipped,USPS(9341989674090177236085),$9.89,$0.00,$0.91,$0.00,$0.91,$10.80
1/10/21,112-0102920-1845813,Amazon.com,1/11/21,Shipped,AMZN_US(TBA131597643604),$13.94,$0.00,$1.28,$0.00,$1.28,$15.22
1/16/21,112-3954640-8716215,Amazon.com,1/17/21,Shipped,AMZN_US(TBA138824580104),$15.27,$0.00,$1.40,$0.00,$1.40,$16.67
1/16/21,112-3954640-8716215,Amazon.com,1/17/21,Shipped,AMZN_US(TBA138077335004),$62.64,$0.00,$5.76,$0.00,$5.76,$68.40
1/20/21,113-5911609-9767419,Amazon.com,1/20/21,Shipped,AMZN_US(TBA142222269904),$6.47,$0.00,$0.60,$0.00,$0.60,$7.07
