,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Intro,You Should Be Here,Kehlani,2015-04-28,139261,31,0.683,0.715,0.683,0.361,0.0,0.111,-14.146,0.954,140.783,5
1,You Should Be Here,You Should Be Here,Kehlani,2015-04-28,157859,55,0.411,0.488,0.411,0.58,0.0,0.119,-5.988,0.0684,140.55,4
2,How That Taste,You Should Be Here,Kehlani,2015-04-28,152595,43,0.437,0.229,0.437,0.873,0.0,0.464,-3.327,0.377,73.05,4
3,Jealous (feat. Lexii Alijai),You Should Be Here,Kehlani,2015-04-28,218592,52,0.559,0.23,0.559,0.462,0.0,0.0997,-8.843,0.216,115.587,4
4,Niggas,You Should Be Here,Kehlani,2015-04-28,174765,52,0.455,0.041,0.455,0.688,0.0,0.354,-4.747,0.113,148.038,4
5,Wanted,You Should Be Here,Kehlani,2015-04-28,130588,44,0.511,0.251,0.511,0.801,0.0,0.288,-3.588,0.267,135.394,4
6,The Way (feat. Chance the Rapper),You Should Be Here,Kehlani,2015-04-28,262520,64,0.746,0.389,0.746,0.538,0.0,0.139,-6.479,0.32,101.018,4
7,Unconditional,You Should Be Here,Kehlani,2015-04-28,156456,43,0.478,0.201,0.478,0.64,0.0,0.0849,-5.417,0.0417,100.099,4
8,The Letter,You Should Be Here,Kehlani,2015-04-28,232169,56,0.448,0.855,0.448,0.241,0.0,0.124,-8.643,0.0328,131.259,4
9,Runnin' - Interlude,You Should Be Here,Kehlani,2015-04-28,137848,46,0.571,0.414,0.571,0.515,0.0,0.121,-8.93,0.445,133.106,4
10,Be Alright,You Should Be Here,Kehlani,2015-04-28,174618,43,0.546,0.489,0.546,0.669,0.0,0.11,-6.004,0.0584,100.037,4
11,Down for You (feat. BJ the Chicago Kid),You Should Be Here,Kehlani,2015-04-28,227754,52,0.479,0.456,0.479,0.711,0.0,0.215,-4.977,0.236,79.54,5
12,Yet,You Should Be Here,Kehlani,2015-04-28,149529,39,0.437,0.157,0.437,0.623,0.0,0.0919,-7.487,0.283,152.613,5
13,Bright,You Should Be Here,Kehlani,2015-04-28,257179,52,0.446,0.621,0.446,0.435,0.0,0.107,-5.874,0.107,50.176,4
14,Alive (feat. Coucheron),You Should Be Here,Kehlani,2015-04-28,187991,45,0.598,0.0531,0.598,0.71,0.0,0.106,-5.427,0.0554,93.997,4
15,Gangsta,SweetSexySavage (Deluxe),Kehlani,2017-01-27,177773,52,0.465,0.102,0.465,0.446,0.0,0.321,-8.336,0.0433,121.801,4
16,CRZY,SweetSexySavage (Deluxe),Kehlani,2017-01-27,191720,36,0.827,0.226,0.827,0.702,5.04e-05,0.158,-7.264,0.267,130.02,4
17,Distraction,SweetSexySavage (Deluxe),Kehlani,2017-01-27,235693,44,0.66,0.0266,0.66,0.698,0.0,0.296,-6.266,0.0467,120.959,4
18,Keep On,SweetSexySavage (Deluxe),Kehlani,2017-01-27,209121,28,0.74,0.264,0.74,0.453,7.13e-05,0.129,-7.58,0.151,98.057,4
19,In My Feelings,SweetSexySavage (Deluxe),Kehlani,2017-01-27,219596,28,0.556,0.0293,0.556,0.723,0.0,0.13,-5.338,0.149,110.628,4
20,Personal,SweetSexySavage (Deluxe),Kehlani,2017-01-27,227186,27,0.765,0.199,0.765,0.638,0.0,0.669,-4.548,0.13,113.981,4
21,Escape,SweetSexySavage (Deluxe),Kehlani,2017-01-27,201720,26,0.562,0.0391,0.562,0.688,0.0,0.235,-5.353,0.0794,79.979,4
22,Undercover,SweetSexySavage (Deluxe),Kehlani,2017-01-27,183280,28,0.721,0.275,0.721,0.593,0.0,0.0714,-4.768,0.0397,145.025,4
23,Piece of Mind,SweetSexySavage (Deluxe),Kehlani,2017-01-27,225079,26,0.539,0.0319,0.539,0.841,0.0,0.0967,-3.613,0.138,77.079,4
24,Do U Dirty,SweetSexySavage (Deluxe),Kehlani,2017-01-27,197541,24,0.653,0.0799,0.653,0.553,0.0,0.313,-6.888,0.236,118.004,4
25,Advice,SweetSexySavage (Deluxe),Kehlani,2017-01-27,202720,24,0.497,0.028,0.497,0.742,0.00128,0.217,-2.458,0.054,172.007,4
