,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Knives Out,2019,8.0,82.0,213280,,131
1,Parasite,2019,8.6,96.0,303261,,132
2,Jojo Rabbit,2019,8.0,58.0,155313,0.35,108
3,The Gentlemen,2019,8.1,51.0,49226,,113
4,1917,2019,8.4,78.0,210720,,119
5,Uncut Gems,2019,7.6,90.0,116926,,135
6,Once Upon a Time... in Hollywood,2019,7.7,83.0,403608,135.37,161
7,Joker,2019,8.6,59.0,706635,192.73,122
8,Little Women,2019,8.0,91.0,70495,,135
9,Ford v Ferrari,2019,8.1,81.0,161785,,152
10,The Lighthouse,2019,7.7,83.0,81227,0.43,109
11,The Irishman,2019,7.9,94.0,255180,,209
12,Avengers: Endgame,2019,8.5,78.0,677315,858.37,181
13,The Shawshank Redemption,1994,9.3,80.0,2197417,28.34,142
14,Blade Runner 2049,2017,8.0,81.0,416397,92.05,164
15,Marriage Story,2019,8.0,93.0,185252,,137
16,Toy Story 4,2019,7.8,84.0,162589,433.03,100
17,The Wolf of Wall Street,2013,8.2,75.0,1093856,116.9,180
18,Spirited Away,2001,8.6,96.0,591580,10.06,125
19,The Godfather,1972,9.2,100.0,1514086,134.97,175
20,The Dark Knight,2008,9.0,84.0,2179601,534.86,152
21,Titanic,1997,7.8,75.0,995642,659.33,194
22,The Green Mile,1999,8.6,61.0,1072418,136.8,189
23,Goodfellas,1990,8.7,90.0,956463,46.84,146
24,Baby Driver,2017,7.6,86.0,399685,107.83,113
25,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,596386,317.58,152
26,Back to the Future,1985,8.5,87.0,984120,210.61,116
27,Interstellar,2014,8.6,74.0,1381594,188.02,169
28,Casino Royale,2006,8.0,80.0,556890,167.45,144
29,Inception,2010,8.8,74.0,1928436,292.58,148
30,The Shining,1980,8.4,66.0,836994,44.02,146
31,Inglourious Basterds,2009,8.3,69.0,1186768,120.54,153
32,Pulp Fiction,1994,8.9,94.0,1726949,107.93,154
33,Green Book,2018,8.2,69.0,296102,85.08,130
34,Call Me by Your Name,2017,7.9,93.0,179647,18.1,132
