,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Parasite,2019,132,8.6,96,287513,
1,Jojo Rabbit,2019,108,8.0,58,145562,0.35
2,1917,2019,119,8.4,78,202312,
3,Knives Out,2019,131,8.0,82,199860,
4,Uncut Gems,2019,135,7.6,90,110414,
5,Once Upon a Time... in Hollywood,2019,161,7.7,83,397801,135.37
6,Joker,2019,122,8.6,59,697824,192.73
7,The Gentlemen,2019,113,8.1,51,43847,
8,Ford v Ferrari,2019,152,8.2,81,154708,
9,Little Women,2019,135,8.0,91,65966,
10,The Irishman,2019,209,8.0,94,251187,
11,The Lighthouse,2019,109,7.7,83,78224,0.43
12,Toy Story 4,2019,100,7.8,84,160832,433.03
13,Marriage Story,2019,137,8.0,93,181148,
14,Avengers: Endgame,2019,181,8.5,78,673998,858.37
15,The Godfather,1972,175,9.2,100,1512350,134.97
16,Blade Runner 2049,2017,164,8.0,81,415283,92.05
17,The Shawshank Redemption,1994,142,9.3,80,2194999,28.34
18,The Dark Knight,2008,152,9.0,84,2177462,534.86
19,Inglourious Basterds,2009,153,8.3,69,1185323,120.54
20,Call Me by Your Name,2017,132,7.9,93,178899,18.1
21,The Two Popes,2019,125,7.6,75,76876,
22,Pulp Fiction,1994,154,8.9,94,1725010,107.93
23,Inception,2010,148,8.8,74,1926275,292.58
24,Interstellar,2014,169,8.6,74,1379525,188.02
25,Green Book,2018,130,8.2,69,294283,85.08
26,Blade Runner,1982,117,8.1,84,656673,32.87
27,The Wolf of Wall Street,2013,180,8.2,75,1092452,116.9
28,Gone Girl,2014,149,8.1,79,799986,167.77
29,The Shining,1980,146,8.4,66,835815,44.02
30,The Matrix,1999,136,8.7,73,1580733,171.48
31,Titanic,1997,194,7.8,75,994660,659.33
32,The Silence of the Lambs,1991,118,8.6,85,1191543,130.74
33,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,384249,54.51
34,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,595740,317.58
35,The Peanut Butter Falcon,2019,97,7.7,70,34290,13.12
36,The Handmaiden,2016,145,8.1,84,92603,2.01
37,Memories of Murder,2003,132,8.1,82,115316,0.01
38,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1572756,315.54
39,Gladiator,2000,155,8.5,67,1267675,187.71
40,The Martian,2015,144,8.0,80,715846,228.43
41,Bohemian Rhapsody,2018,134,8.0,49,410496,216.43
42,Watchmen,2009,162,7.6,56,479927,107.51
43,Forrest Gump,1994,142,8.8,82,1693903,330.25
44,Thor: Ragnarok,2017,130,7.9,74,535297,315.06
45,Casino Royale,2006,144,8.0,80,555915,167.45
46,The Breakfast Club,1985,97,7.9,62,330403,45.88
47,The Godfather: Part II,1974,202,9.0,90,1059397,57.3
48,Django Unchained,2012,165,8.4,81,1271978,162.81
49,Baby Driver,2017,113,7.6,86,398794,107.83
